Id2,Total,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Two races including Some other race,"Two races excluding Some other race, and three or more races"
250251103011,1262,456,567,14,7,0,182,36,20,16
250251103012,1429,831,304,13,32,0,225,24,7,17
250251104011,1564,638,717,0,17,0,160,32,18,14
250251104012,2204,1307,682,42,51,0,73,49,0,49
250251104031,1302,613,547,0,36,0,86,20,0,20
250251104032,932,494,322,0,20,0,96,0,0,0
250251104033,494,365,31,0,20,0,78,0,0,0
250251104034,970,639,71,0,44,0,204,12,0,12
250251104035,806,485,212,0,0,0,17,92,0,92
250251105011,1165,993,2,0,18,0,138,14,0,14
250251105012,1379,1205,0,0,0,0,105,69,0,69
250251105013,1000,787,19,0,12,0,130,52,0,52
250251105021,1741,1037,432,73,97,0,95,7,0,7
250251105022,2344,1715,324,27,12,0,171,95,14,81
250251105023,571,449,20,0,15,0,87,0,0,0
250251106011,1916,1657,72,0,101,0,14,72,23,49
250251106012,1075,944,27,0,93,0,11,0,0,0
250251106071,857,632,0,0,153,0,0,72,0,72
250251106072,1696,1433,246,0,17,0,0,0,0,0
250251106073,1803,1643,6,0,19,0,135,0,0,0
250251106074,996,917,68,0,7,0,0,4,0,4
250251201031,1700,1401,73,0,110,0,0,116,3,113
250251201041,531,498,0,0,0,0,0,33,0,33
250251201042,906,534,187,0,34,0,81,70,0,70
250251201043,866,754,60,0,20,0,13,19,8,11
250251201051,1181,819,99,0,163,0,2,98,5,93
250251201052,1022,888,54,0,24,0,20,36,0,36
250251201053,553,527,16,0,9,0,0,1,0,1
250251202011,1350,1053,207,0,24,0,23,43,0,43
250251202012,1965,1295,137,41,4,0,359,129,31,98
250251202013,462,289,31,10,37,0,95,0,0,0
250251203011,1397,543,359,0,87,0,371,37,21,16
250251203012,1109,366,346,0,33,0,364,0,0,0
250251203013,1509,905,302,0,201,0,49,52,12,40
250251203014,1248,783,112,0,56,0,186,111,0,111
250251204001,873,637,116,0,79,0,0,41,13,28
250251204002,897,537,15,0,103,0,173,69,69,0
250251204003,1282,1057,106,0,42,0,39,38,0,38
250251204004,1740,1465,89,0,87,0,7,92,0,92
250251204005,1532,1242,146,0,95,0,0,49,0,49
250251205001,789,388,100,9,75,0,194,23,0,23
250251205002,918,506,105,8,50,0,170,79,16,63
250251205003,978,445,199,0,101,0,233,0,0,0
250251206001,768,569,96,0,40,0,0,63,0,63
250251206002,698,574,40,0,11,0,55,18,0,18
250251206003,847,710,47,0,29,0,23,38,8,30
250251207001,964,531,99,24,98,0,158,54,11,43
250251207002,1327,958,84,17,206,0,62,0,0,0
250251301001,991,920,0,0,39,0,0,32,0,32
250251301002,1785,866,74,0,531,0,52,262,0,262
250251301003,773,773,0,0,0,0,0,0,0,0
250251301004,671,671,0,0,0,0,0,0,0,0
250251301005,1129,1013,0,0,0,0,116,0,0,0
250251301006,226,178,15,0,13,0,0,20,0,20
250251301007,1057,1027,0,0,0,0,0,30,0,30
250251302001,763,640,52,0,49,0,0,22,0,22
250251302002,1240,1044,31,0,59,0,0,106,0,106
250251302003,1581,1376,53,0,101,0,51,0,0,0
250251302004,740,646,68,0,8,0,18,0,0,0
250251302005,945,889,0,0,56,0,0,0,0,0
250251303001,759,698,29,0,20,0,12,0,0,0
250251303002,1110,905,89,0,0,0,0,116,0,116
250251303003,717,692,25,0,0,0,0,0,0,0
250251303004,1373,1014,32,0,229,0,90,8,0,8
250251303005,732,732,0,0,0,0,0,0,0,0
250251304021,1145,1000,38,0,59,0,14,34,0,34
250251304022,948,750,53,0,145,0,0,0,0,0
250251304023,905,864,41,0,0,0,0,0,0,0
250251304024,1158,1118,0,0,40,0,0,0,0,0
250251304025,922,610,0,0,241,0,71,0,0,0
250251304041,2209,1438,368,0,207,0,187,9,0,9
250251304042,632,527,29,0,59,0,0,17,0,17
250251304043,417,291,26,0,79,0,21,0,0,0
250251304061,2667,544,1689,0,126,0,210,98,0,98
250251304062,2715,1500,903,0,155,0,59,98,27,71
250251304063,629,330,55,0,162,0,82,0,0,0
250251401021,1523,437,894,0,48,0,144,0,0,0
250251401022,1407,768,542,0,0,0,73,24,0,24
250251401023,950,528,312,0,12,0,11,87,0,87
250251401024,1386,458,731,0,17,0,142,38,25,13
250251401051,2742,1656,615,0,88,0,317,66,24,42
250251401052,1407,409,687,0,28,0,247,36,0,36
250251401061,1361,346,696,0,2,0,215,102,31,71
250251401062,818,242,534,0,0,0,28,14,14,0
